"desired_return","convex_optimization","random_sim","improved_sim"
3,0.00984356137925436,0.00639675440335981,0.00547370344517077
5,0.0108773157761991,0.00597426139723576,0.00811912277629567
7,0.00912809575330817,0.00922996682460108,0.00969288673178598
