"SourceFile","GPSLatitude","GPSLongitude","DateTimeOriginal","country"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_195616.jpg",46.209409,6.150686,"2021:01:03 19:23:56","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_195717.jpg",46.203211,6.15042297222222,"2021:01:03 19:12:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_195939.jpg",46.2037059722222,6.14812797222222,"2021:01:03 18:13:04","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_222219.jpg",46.20302,6.14785597222222,"2021:01:03 18:15:19","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_222247.jpg",46.2031429722222,6.14784297222222,"2021:01:03 18:14:33","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_222432.jpg",46.200955,6.147839,"2021:01:03 18:19:54","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_222454.jpg",46.205806,6.146982,"2021:01:03 18:07:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210103_222542.jpg",46.2000799722222,6.148424,"2021:01:03 18:23:04","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190608.jpg",46.2266959722222,6.14597897222222,"2021:01:12 17:11:26","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190632.jpg",46.220077,6.150049,"2021:01:12 16:53:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190705.jpg",46.226162,6.14677397222222,"2021:01:12 17:22:46","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190743.jpg",46.2271619722222,6.14687697222222,"2021:01:12 17:20:29","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190845.jpg",46.2193109722222,6.15145597222222,"2021:01:12 16:55:31","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_190920.jpg",46.22827,6.14684997222222,"2021:01:12 17:17:16","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_191016.jpg",46.2259409722222,6.146828,"2021:01:12 17:24:05","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210112_191038.jpg",46.2244839722222,6.15059897222222,"2021:01:12 17:03:30","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210114_174232.jpg",46.2212859722222,6.14623,"2021:01:12 17:39:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210114_174411.jpg",46.2285329722222,6.14687697222222,"2021:01:12 17:16:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210114_174605.jpg",46.226728,6.146014,"2021:01:12 17:12:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210114_175131.jpg",46.2276439722222,6.147,"2021:01:12 17:18:58","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_123954.jpg",46.227679,6.14821097222222,"2021:01:17 12:04:47","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_124112.jpg",46.2302079722222,6.14366597222222,"2021:01:17 11:28:12","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_124309.jpg",46.225613,6.146124,"2021:01:17 12:11:13","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_125457.jpg",46.2325489722222,6.141236,"2021:01:17 11:39:53","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_152314.jpg",46.2318089722222,6.142825,"2021:01:17 11:30:56","Switzerland"
